our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
1,"Kraft, Licht, Information, Kommunikation, Kälte (KLIK)",329214.0,312753.30000000005,,,,,,,,,LOW
1.0,"Bedarfsniveau (statisch), 100% Strom",329214.0,329214.0,337,W,0.001,Strom aus Brennstoffen (fest) - Nutzungsgrad,337,W,0.001,Strom aus Brennstoffen (fest) - Nutzungsgrad,HIGH
1.1,davon Haushalte,18.64,18.6,703,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,703,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,HIGH
1.1.1,Endenergie Haushalte,61365.4896,61233.804000000004,,,,,,,,,LOW
1.1.2,Zieleinfluss Endanwendungs-Effizienz,100.0,95.0,,,,,836,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
1.1.3,Endenergie nach Effizienz,61365.4896,58172.11380000001,,,,,49,W,0.001,Energieverbraucher nach Solidar-Prinzip,MED
1.2,davon Handel/Dienstleistungen,34.7,34.7,713,W,1,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,713,W,1,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,HIGH
1.2.1,Endenergie Handel/Dienstl.,114237.258,114237.258,,,,,,,,,LOW
1.2.2,Zieleinfluss Handels-/Dienstl.-Vol./Pers.,100.0,100.0,720,W,1,"- ZIEL-Ansatz: Es wird angenommen, dass die wirtsc",720,W,1,"- ZIEL-Ansatz: Es wird angenommen, dass die wirtsc",HIGH
1.2.3,Nach Vol./Pers. Anpassung,114237.258,114237.258,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,HIGH
1.2.4,Zieleinfluss Prozess-Effizienz,100.0,95.0,,,,,836,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
1.2.5,Endenergie nach Prozess-Effizienz,114237.258,108525.3951,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,,,,,MED
1.3,davon Industrie + Gewerbeanteil GHD,46.7,46.7,729,W,1,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,729,W,1,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,HIGH
1.3.1,Endenergie Industrie,153742.938,153742.938,,,,,,,,,LOW
1.3.2,Zieleinfluss Materialdurchsatz/Pers.,100.0,100.0,,,,,,,,,LOW
1.3.3,Nach Materialdurchsatz Anpassung,153742.938,153742.938,,,,,,,,,LOW
1.3.4,Zieleinfluss Prozess-Effizienz,100.0,95.0,,,,,836,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
1.3.5,Endenergie nach Prozess-Effizienz,153742.938,146055.7911,,,,,792,W,0.0001,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
1.4,Endverbrauch Strom für KLIK gesamt,329345.68559999997,312753.30000000005,315,W,0.001,Energiestrohanteil für Gebäudewärme,296,W,0.001,Energieholzanteil für Wärmenetze,HIGH
2.0,Bedarfsniveau (statisch),798867.0,798867.0,,,,,,,,,LOW
2.1,davon Haushalte,71.64,71.64,749,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,749,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,HIGH
2.1.0,=,572308.3188,572308.3188,,,,,,,,,LOW
2.1.1,Wohnfläche pro Person,44.7,44.7,754,W,1,- ZIEL-Ansatz: Abweichend vom Ansatz der BMU-Leits,754,W,1,- ZIEL-Ansatz: Abweichend vom Ansatz der BMU-Leits,HIGH
2.1.2,Zieleinfluss Wohnflächen-Entwicklung,100.0,100.0,971,W,1,- ZIEL-Ansatz: Die weitere Entwicklung des Luftver,971,W,1,- ZIEL-Ansatz: Die weitere Entwicklung des Luftver,HIGH
2.1.9,=,572308.3188,572308.3188,,,,,,,,,LOW
2.2,dav.Gewerbe/Handel/Dienstl. + Industr.,28.4,28.4,,,,,,,,,LOW
2.2.0,=,226878.22799999997,226878.22799999997,,,,,,,,,LOW
2.2.1,Zieleinfluss Erwerbstätigkeit,100.0,100.0,762,W,1,- STATUS-Ansatz: Repräsentiert den Status des spez,762,W,1,- STATUS-Ansatz: Repräsentiert den Status des spez,HIGH
2.2.9,=,226878.22799999997,226878.22799999997,,,,,,,,,LOW
2.3,Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),799186.5468,799186.5468,,,,,,,,,LOW
2.4,davon Raumwärme,85.9,85.9,817,W,1,- STATUS-Ansatz: 86 % Schätzwert resultierend aus ,817,W,1,- STATUS-Ansatz: 86 % Schätzwert resultierend aus ,HIGH
2.4.0,=,686501.2437012,686501.2437012,,,,,,,,,LOW
2.4.1,Spez.Raumwärmebed.Status/Saniert,136.0,80.0,773,W,1,- STATUS-Ansatz: Gemäß DESTATIS [9.230] wird für D,811,W,1,- STATUS-Ansatz: Gemäß Arbeitsgemeinschaft Energie,HIGH
2.4.2,= Veränderung zum Status,100.0,-41.17647058823529,969,W,1,- STATUS-Ansatz: Repräsentiert den Status der Luft,,,,,MED
2.4.3,Gebäude - Sanierungs-/Ersatzrate,1.5,1.5,,,,,,,,,LOW
2.4.4,Sanierungszeitraum: 22 Jahre,2023.0,2045.0,,,,,,,,,LOW
2.4.5,= Gebäudeanteil mit Ziel-Wärmeschutz,0.0,33.0,,,,,306,W,1,- ZIEL-Ansatz: Mit 33 % wird dem Vorschlag des IFE,MED
2.4.6,= Result.spez.Raumwärmebed. ges.,136.0,117.51999999999998,,,,,,,,,LOW
2.4.7,= Raumwärmebedarf Veränderung,0.0,-13.588235294117647,,,,,,,,,LOW
2.4.9,= Bedarfsniveau (Sanierung/Ersatz),686501.2437012,593217.8394100369,749,W,0.0001,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,,,,,MED
2.5,davon Warmwasser,14.1,14.1,,,,,,,,,LOW
2.5.0,=,112685.3030988,112685.3030988,,,,,,,,,LOW
2.5.1,Zieleinfluss Anwendungs-/Prozess-Effizienz,100.0,70.0,,,,,749,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
2.5.2,=,112685.3030988,78879.71216915999,,,,,,,,,LOW
2.5.3,= Res. Anteil Warmwasser an Gebäudew.,14.099999999999998,11.736348686856534,,,,,524,W,10000,- ZIEL-Ansatz: Gewählt entsprechend dem Bedarf an ,MED
