id,layer,severity,affects_calc,confidence,one_line_summary,path_to_md
F001,§02 value parity,HIGH,YES,HIGH,LU_2.1 Solare Freiflächen user_percent = 3.856% in DB vs 5 in Excel (23% ziel drift),../formula_audit/09_findings/F001_LU_2_1_user_percent_drift.md
F002,§02 value parity,MEDIUM,YES,HIGH,LU_2.4 (sonstige Nutzung) residual target_ha 12.8% high — consequence of F001,../formula_audit/09_findings/F002_LU_2_4_residual_drift.md
F003,§02 value parity,HIGH,YES,HIGH,VerbrauchData[3.2.2] Zieleinfluss Prozess-Effizienz ziel = 89.00004 vs Excel 95 (6pp),../formula_audit/09_findings/F003_Verbrauch_3_2_2_ziel_drift.md
F004,§02 value parity,MEDIUM,YES,MEDIUM,VerbrauchData[3.7] Endenergieverbrauch PW status drift 0.9% — PW child seed off,../formula_audit/09_findings/F004_Verbrauch_3_7_status_drift.md
F005,§04 renewable section-aware,HIGH,YES,HIGH,Biogas Nutzungsgrad (5.4.2.1/5.4.2.3) diverges 12-23pp; Biodiesel (6.1.3.2.3) matches EXACTLY — proven after section-aware remapping,04_renewable_section_aware/f005_resolution.md
F006,§03 formula parity,LOW,NO,HIGH,WS_ABREGELUNG_THRESHOLD=0.65 is dead code — ws_engine.py not imported; live path uses WS365Formula correctly,../formula_audit/09_findings/F006_WS_ABREGELUNG_THRESHOLD_dead_code.md
F007,§03 Bilanz parity,CRITICAL,YES,HIGH,Bilanz verbrauch_strom.gebaeudewaerme returns 0 vs Excel 32877 — wrong subcode + get_verbrauch_value fallback bug,../formula_audit/09_findings/F007_Bilanz_GW_Strom_engine_zero.md
F008,§03 Bilanz parity,HIGH,YES,MEDIUM,Bilanz verbrauch_strom.mobile = 28136 vs Excel 15300 (+84%) — wrong '6.2' subcode mapping,../formula_audit/09_findings/F008_Bilanz_MA_Strom_code_mismatch.md
F009,§06 Jahresstrom parity (R1),LOW,YES,HIGH,Jahresstrom Abregelung chain ~3.3% drift — documented perf/convergence tradeoff from 2026-04-21,../formula_audit/09_findings/F009_Abregelung_sum_drift_from_perf_cuts.md
F010,§02 full formula parity,MEDIUM,POSSIBLY,MEDIUM,10.x_ziel aggregate Formulas: DB sums children / Excel computes residual (100 - siblings) — balanced-scenario identical,08_findings/F010_residual_vs_sum_divergence.md
F011,§03 full Bilanz parity,HIGH,YES,HIGH,verbrauch_heat_renewable returns 0 for all sectors vs Excel 32783 (Biogas/Solar thermal Wärme),08_findings/F011_verbrauch_heat_renewable_zero.md
F012,§03 full Bilanz parity,MEDIUM,NO,HIGH,verbrauch_fuels aggregates gas+liquid+solid (no per-carrier breakdown); aggregate total matches Excel within 0.7%,08_findings/F012_verbrauch_fuels_no_carrier_breakdown.md
F013,§03 full Bilanz parity,HIGH,YES,HIGH,Bilanz renewable_by_sector uses Strom-only subcodes (10.3.1 etc.) instead of sector totals (10.3) — ziel renewable 51% short vs Excel,08_findings/F013_ziel_renewable_per_sector_drift.md
F014,§04 Renewable section-aware,MEDIUM,YES,MEDIUM,Cluster finding — 20+ Renewable yield/Nutzungsgrad/Flächenertrag factor drifts 5-30% (systemic seed drift),08_findings/F014_renewable_yield_cluster_drift.md
